Id,Name,Species,Mass,Uncertainity,Analythical Method,Uncertainty Method,Particle Size,N Samples,Reference,Country,Place,Test Year,Sampling Method,Latitude,Longitude,CAS Number,Symbol,Reference,Link,Other comments
B10EAF3C,Electric Arc Furnace - steel,Silver,0.0065,0.0059,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"Rail wheel Factory, Ministry of Railways, Yelahanka",3-10-2007,composite of 3 samples from electric arc furnace exhaust stack after electrostatic precipitator,12.9716,77.5946,7440-22-4,Ag,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.01",https://doi.org/10.1016/j.atmosres.2013.04.012,Processes involved are casting wheel and axels for locomotives and steel scrap is used as fuel
B10EAF3C,Electric Arc Furnace - steel,Aluminium,4.5453,0.3216,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"Rail wheel Factory, Ministry of Railways, Yelahanka",3-10-2007,composite of 3 samples from electric arc furnace exhaust stack after electrostatic precipitator,12.9716,77.5946,7429-90-5,Al,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.02",https://doi.org/10.1016/j.atmosres.2013.04.013,Processes involved are casting wheel and axels for locomotives and steel scrap is used as fuel
B10EAF3C,Electric Arc Furnace - steel,Arsenic,0.0929,0.0109,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"Rail wheel Factory, Ministry of Railways, Yelahanka",3-10-2007,composite of 3 samples from electric arc furnace exhaust stack after electrostatic precipitator,12.9716,77.5946,7440-38-2,As,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.03",https://doi.org/10.1016/j.atmosres.2013.04.014,Processes involved are casting wheel and axels for locomotives and steel scrap is used as fuel
B10EAF3C,Electric Arc Furnace - steel,Barium,0.0231,0.0017,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"Rail wheel Factory, Ministry of Railways, Yelahanka",3-10-2007,composite of 3 samples from electric arc furnace exhaust stack after electrostatic precipitator,12.9716,77.5946,7440-39-3,Ba,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.04",https://doi.org/10.1016/j.atmosres.2013.04.015,Processes involved are casting wheel and axels for locomotives and steel scrap is used as fuel
B10EAF3C,Electric Arc Furnace - steel,Calcium,2.2654,0.1610,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"Rail wheel Factory, Ministry of Railways, Yelahanka",3-10-2007,composite of 3 samples from electric arc furnace exhaust stack after electrostatic precipitator,12.9716,77.5946,7440-70-2,Ca,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.05",https://doi.org/10.1016/j.atmosres.2013.04.016,Processes involved are casting wheel and axels for locomotives and steel scrap is used as fuel
B10EAF3C,Electric Arc Furnace - steel,Cadmium,0.0126,0.0012,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"Rail wheel Factory, Ministry of Railways, Yelahanka",3-10-2007,composite of 3 samples from electric arc furnace exhaust stack after electrostatic precipitator,12.9716,77.5946,7440-43-9,Cd,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.06",https://doi.org/10.1016/j.atmosres.2013.04.017,Processes involved are casting wheel and axels for locomotives and steel scrap is used as fuel
B10EAF3C,Electric Arc Furnace - steel,Cerium,0.0301,0.0138,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"Rail wheel Factory, Ministry of Railways, Yelahanka",3-10-2007,composite of 3 samples from electric arc furnace exhaust stack after electrostatic precipitator,12.9716,77.5946,7440-45-1,Ce,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.07",https://doi.org/10.1016/j.atmosres.2013.04.018,Processes involved are casting wheel and axels for locomotives and steel scrap is used as fuel
B10EAF3C,Electric Arc Furnace - steel,Cobalt,0.002,0.0015,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"Rail wheel Factory, Ministry of Railways, Yelahanka",3-10-2007,composite of 3 samples from electric arc furnace exhaust stack after electrostatic precipitator,12.9716,77.5946,7440-48-4,Co,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.08",https://doi.org/10.1016/j.atmosres.2013.04.019,Processes involved are casting wheel and axels for locomotives and steel scrap is used as fuel
B10EAF3C,Electric Arc Furnace - steel,Chromium,0.0522,0.0041,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"Rail wheel Factory, Ministry of Railways, Yelahanka",3-10-2007,composite of 3 samples from electric arc furnace exhaust stack after electrostatic precipitator,12.9716,77.5946,7440-47-3,Cr,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.09",https://doi.org/10.1016/j.atmosres.2013.04.020,Processes involved are casting wheel and axels for locomotives and steel scrap is used as fuel
B10EAF3C,Electric Arc Furnace - steel,Copper,0.1151,0.0086,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"Rail wheel Factory, Ministry of Railways, Yelahanka",3-10-2007,composite of 3 samples from electric arc furnace exhaust stack after electrostatic precipitator,12.9716,77.5946,7440-50-8,Cu,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.10",https://doi.org/10.1016/j.atmosres.2013.04.021,Processes involved are casting wheel and axels for locomotives and steel scrap is used as fuel
B10EAF3C,Electric Arc Furnace - steel,Iron,43.4826,3.0755,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"Rail wheel Factory, Ministry of Railways, Yelahanka",3-10-2007,composite of 3 samples from electric arc furnace exhaust stack after electrostatic precipitator,12.9716,77.5946,7439-89-6,Fe,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.11",https://doi.org/10.1016/j.atmosres.2013.04.022,Processes involved are casting wheel and axels for locomotives and steel scrap is used as fuel
B10EAF3C,Electric Arc Furnace - steel,Gallium,0.011,0.0098,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"Rail wheel Factory, Ministry of Railways, Yelahanka",3-10-2007,composite of 3 samples from electric arc furnace exhaust stack after electrostatic precipitator,12.9716,77.5946,7440-55-3,Ga,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.12",https://doi.org/10.1016/j.atmosres.2013.04.023,Processes involved are casting wheel and axels for locomotives and steel scrap is used as fuel
B10EAF3C,Electric Arc Furnace - steel,Hafnium,0.0086,0.0040,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"Rail wheel Factory, Ministry of Railways, Yelahanka",3-10-2007,composite of 3 samples from electric arc furnace exhaust stack after electrostatic precipitator,12.9716,77.5946,7440-58-6,Hf,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.13",https://doi.org/10.1016/j.atmosres.2013.04.024,Processes involved are casting wheel and axels for locomotives and steel scrap is used as fuel
B10EAF3C,Electric Arc Furnace - steel,Mercury,0.0695,0.0060,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"Rail wheel Factory, Ministry of Railways, Yelahanka",3-10-2007,composite of 3 samples from electric arc furnace exhaust stack after electrostatic precipitator,12.9716,77.5946,7439-97-6,Hg,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.14",https://doi.org/10.1016/j.atmosres.2013.04.025,Processes involved are casting wheel and axels for locomotives and steel scrap is used as fuel
B10EAF3C,Electric Arc Furnace - steel,Indium,1.2108,0.0937,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"Rail wheel Factory, Ministry of Railways, Yelahanka",3-10-2007,composite of 3 samples from electric arc furnace exhaust stack after electrostatic precipitator,12.9716,77.5946,7440-74-6,In,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.15",https://doi.org/10.1016/j.atmosres.2013.04.026,Processes involved are casting wheel and axels for locomotives and steel scrap is used as fuel
