Id,Name,Species,Mass,Uncertainity,Analythical Method,Uncertainty Method,Particle Size,N Samples,Reference,Country,Place,Test Year,Sampling Method,Latitude,Longitude,CAS Number,Symbol,Reference,Link,Other comments
K10CC3C,Coal Combustion in Stoves,Silver,0.0294,0.0211,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Samples Collected from Kanpur,3-10-2007,composite of 3 samples taken from a stove burning coal in kanpur samples were collecting from the dpmestic/tandoor stoves and samples at 1:10 dilution ratio for 60 minute duration,26.4499,80.3319,7440-22-4,Ag,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.01",https://doi.org/10.1016/j.atmosres.2013.04.012,samples were collected from the dpmestic/tandoor stoves and samples at 1:10 dilution ratio for 60 minute duration
K10CC3C,Coal Combustion in Stoves,Aluminium,0.0114,0.0016,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Samples Collected from Kanpur,3-10-2007,composite of 3 samples taken from the exhaust line of a boiler in bengaluru,26.4499,80.3319,7429-90-5,Al,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.02",https://doi.org/10.1016/j.atmosres.2013.04.013,samples were collected from the dpmestic/tandoor stoves and samples at 1:10 dilution ratio for 60 minute duration
K10CC3C,Coal Combustion in Stoves,Arsenic,0.0267,0.0192,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Samples Collected from Kanpur,3-10-2007,composite of 3 samples taken from the exhaust line of a boiler in bengaluru,26.4499,80.3319,7440-38-2,As,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.03",https://doi.org/10.1016/j.atmosres.2013.04.014,samples were collected from the dpmestic/tandoor stoves and samples at 1:10 dilution ratio for 60 minute duration
K10CC3C,Coal Combustion in Stoves,Barium,0.0008,0.0006,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Samples Collected from Kanpur,3-10-2007,composite of 3 samples taken from the exhaust line of a boiler in bengaluru,26.4499,80.3319,7440-39-3,Ba,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.04",https://doi.org/10.1016/j.atmosres.2013.04.015,samples were collected from the dpmestic/tandoor stoves and samples at 1:10 dilution ratio for 60 minute duration
K10CC3C,Coal Combustion in Stoves,Calcium,0.0596,0.0079,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Samples Collected from Kanpur,3-10-2007,composite of 3 samples taken from the exhaust line of a boiler in bengaluru,26.4499,80.3319,7440-70-2,Ca,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.05",https://doi.org/10.1016/j.atmosres.2013.04.016,samples were collected from the dpmestic/tandoor stoves and samples at 1:10 dilution ratio for 60 minute duration
K10CC3C,Coal Combustion in Stoves,Cadmium,0.0106,0.0018,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Samples Collected from Kanpur,3-10-2007,composite of 3 samples taken from the exhaust line of a boiler in bengaluru,26.4499,80.3319,7440-43-9,Cd,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.06",https://doi.org/10.1016/j.atmosres.2013.04.017,samples were collected from the dpmestic/tandoor stoves and samples at 1:10 dilution ratio for 60 minute duration
K10CC3C,Coal Combustion in Stoves,Cerium,0.0646,0.0464,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Samples Collected from Kanpur,3-10-2007,composite of 3 samples taken from the exhaust line of a boiler in bengaluru,26.4499,80.3319,7440-45-1,Ce,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.07",https://doi.org/10.1016/j.atmosres.2013.04.018,samples were collected from the dpmestic/tandoor stoves and samples at 1:10 dilution ratio for 60 minute duration
K10CC3C,Coal Combustion in Stoves,Cobalt,0.0072,0.0052,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Samples Collected from Kanpur,3-10-2007,composite of 3 samples taken from the exhaust line of a boiler in bengaluru,26.4499,80.3319,7440-48-4,Co,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.08",https://doi.org/10.1016/j.atmosres.2013.04.019,samples were collected from the dpmestic/tandoor stoves and samples at 1:10 dilution ratio for 60 minute duration
K10CC3C,Coal Combustion in Stoves,Chromium,0.0066,0.0021,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Samples Collected from Kanpur,3-10-2007,composite of 3 samples taken from the exhaust line of a boiler in bengaluru,26.4499,80.3319,7440-47-3,Cr,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.09",https://doi.org/10.1016/j.atmosres.2013.04.020,samples were collected from the dpmestic/tandoor stoves and samples at 1:10 dilution ratio for 60 minute duration
K10CC3C,Coal Combustion in Stoves,Copper,0.1508,0.0122,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Samples Collected from Kanpur,3-10-2007,composite of 3 samples taken from the exhaust line of a boiler in bengaluru,26.4499,80.3319,7440-50-8,Cu,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.10",https://doi.org/10.1016/j.atmosres.2013.04.021,samples were collected from the dpmestic/tandoor stoves and samples at 1:10 dilution ratio for 60 minute duration
