Id,Name,Species,Mass,Uncertainity,Analythical Method,Uncertainty Method,Particle Size,N Samples,Reference,Country,Place,Test Year,Control Method,Sampling Method,Latitude,Longitude,CAS Number,Symbol,Reference,Link,other details
B10DG3C,Industrial Diesel Generator,Silver,0.1243,0.0918,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7440-22-4,Ag,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.01",https://doi.org/10.1016/j.atmosres.2013.04.012,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Aluminium,0.0277,0.0054,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7429-90-5,Al,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.02",https://doi.org/10.1016/j.atmosres.2013.04.013,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Arsenic,0.1475,0.0852,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7440-38-2,As,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.03",https://doi.org/10.1016/j.atmosres.2013.04.014,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Barium,0.0116,0.0031,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7440-39-3,Ba,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.04",https://doi.org/10.1016/j.atmosres.2013.04.015,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Calcium,0.0271,0.0194,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7440-70-2,Ca,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.05",https://doi.org/10.1016/j.atmosres.2013.04.016,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Cadmium,0.0159,0.0059,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7440-43-9,Cd,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.06",https://doi.org/10.1016/j.atmosres.2013.04.017,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Cerium,0.2813,0.2021,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7440-45-1,Ce,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.07",https://doi.org/10.1016/j.atmosres.2013.04.018,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Cobalt,0.0314,0.0226,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7440-48-4,Co,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.08",https://doi.org/10.1016/j.atmosres.2013.04.019,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Chromium,0.083,0.0128,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7440-47-3,Cr,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.09",https://doi.org/10.1016/j.atmosres.2013.04.020,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Copper,0.0922,0.0146,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7440-50-8,Cu,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.10",https://doi.org/10.1016/j.atmosres.2013.04.021,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
