Id,Name,Species,Mass,Uncertainity,Analythical Method,Uncertainty Method,Particle Size,N Samples,Reference,Country,Place,Test Year,Sampling Method,Latitude,Longitude,CAS Number,Symbol,Reference,Link,Other comments
B10UPD1,Unpaved Road Dust,Silver,0.0066,0.0065,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",12.9716,77.5946,7440-22-4,Ag,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.01",https://doi.org/10.1016/j.atmosres.2013.04.012,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
B10UPD1,Unpaved Road Dust,Aluminium,0.0379,0.0056,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",12.9716,77.5946,7429-90-5,Al,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.02",https://doi.org/10.1016/j.atmosres.2013.04.013,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
B10UPD1,Unpaved Road Dust,Arsenic,0.0214,0.0069,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",12.9716,77.5946,7440-38-2,As,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.03",https://doi.org/10.1016/j.atmosres.2013.04.014,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
B10UPD1,Unpaved Road Dust,Barium,0.0261,0.0028,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",12.9716,77.5946,7440-39-3,Ba,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.04",https://doi.org/10.1016/j.atmosres.2013.04.015,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
B10UPD1,Unpaved Road Dust,Calcium,1.1848,0.2472,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",12.9716,77.5946,7440-70-2,Ca,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.05",https://doi.org/10.1016/j.atmosres.2013.04.016,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
B10UPD1,Unpaved Road Dust,Cadmium,0.0026,0.0004,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",12.9716,77.5946,7440-43-9,Cd,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.06",https://doi.org/10.1016/j.atmosres.2013.04.017,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
B10UPD1,Unpaved Road Dust,Cerium,0.0198,0.0142,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",12.9716,77.5946,7440-45-1,Ce,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.07",https://doi.org/10.1016/j.atmosres.2013.04.018,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
B10UPD1,Unpaved Road Dust,Cobalt,0.0022,0.0016,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",12.9716,77.5946,7440-48-4,Co,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.08",https://doi.org/10.1016/j.atmosres.2013.04.019,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
B10UPD1,Unpaved Road Dust,Chromium,0.0027,0.0012,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",12.9716,77.5946,7440-47-3,Cr,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.09",https://doi.org/10.1016/j.atmosres.2013.04.020,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
B10UPD1,Unpaved Road Dust,Copper,0.0071,0.0018,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",12.9716,77.5946,7440-50-8,Cu,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.10",https://doi.org/10.1016/j.atmosres.2013.04.021,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
