Id,Name,Specie,Mass,Uncertainity,Analythical Method,Uncertainty Method,Particle Size,N Samples,Reference,Country,Place,Test Year,Control Method,Sampling Method,Latitude,Longitude,CAS Number,Symbol,Reference,Link,Other comments
B25FC3C,Fuel Oil Combustion in Boilers,Silver,0.0083,0.0059,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Banglore Milk Dairy,25-10-2007,NIL,Composite of 3 samples taken from the exhaust stack of an Industrial boiler  using an isokinetic sampling probe and a dilution chamber(1:08) for 60 min sampling duration,16.0527611,72.9865507,7440-22-4,Ag,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.01",https://doi.org/10.1016/j.atmosres.2013.04.012,Furnace oil combustion in the boiler to produce steam for pasteurization.Furnace oil (product code-3080-from Chennai petroleum corporation limited)
B25FC3C,Fuel Oil Combustion in Boilers,Aluminium,0.0041,0.0005,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Banglore Milk Dairy,25-10-2007,NIL,Composite of 3 samples taken from the exhaust stack of an Industrial boiler  using an isokinetic sampling probe and a dilution chamber(1:08) for 60 min sampling duration,16.0527611,72.9865507,7429-90-5,Al,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.02",https://doi.org/10.1016/j.atmosres.2013.04.013,Furnace oil combustion in the boiler to produce steam for pasteurization.Furnace oil (product code-3080-from Chennai petroleum corporation limited)
B25FC3C,Fuel Oil Combustion in Boilers,Arsenic,0.1121,0.0122,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Banglore Milk Dairy,25-10-2007,NIL,Composite of 3 samples taken from the exhaust stack of an Industrial boiler  using an isokinetic sampling probe and a dilution chamber(1:08) for 60 min sampling duration,16.0527611,72.9865507,7440-38-2,As,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.03",https://doi.org/10.1016/j.atmosres.2013.04.014,Furnace oil combustion in the boiler to produce steam for pasteurization.Furnace oil (product code-3080-from Chennai petroleum corporation limited)
B25FC3C,Fuel Oil Combustion in Boilers,Barium,0.0019,0.0003,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Banglore Milk Dairy,25-10-2007,NIL,Composite of 3 samples taken from the exhaust stack of an Industrial boiler  using an isokinetic sampling probe and a dilution chamber(1:08) for 60 min sampling duration,16.0527611,72.9865507,7440-39-3,Ba,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.04",https://doi.org/10.1016/j.atmosres.2013.04.015,Furnace oil combustion in the boiler to produce steam for pasteurization.Furnace oil (product code-3080-from Chennai petroleum corporation limited)
B25FC3C,Fuel Oil Combustion in Boilers,Calcium,0.3845,0.0281,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Banglore Milk Dairy,25-10-2007,NIL,Composite of 3 samples taken from the exhaust stack of an Industrial boiler  using an isokinetic sampling probe and a dilution chamber(1:08) for 60 min sampling duration,16.0527611,72.9865507,7440-70-2,Ca,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.05",https://doi.org/10.1016/j.atmosres.2013.04.016,Furnace oil combustion in the boiler to produce steam for pasteurization.Furnace oil (product code-3080-from Chennai petroleum corporation limited)
B25FC3C,Fuel Oil Combustion in Boilers,Cadmium,0.0019,0.0004,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Banglore Milk Dairy,25-10-2007,NIL,Composite of 3 samples taken from the exhaust stack of an Industrial boiler  using an isokinetic sampling probe and a dilution chamber(1:08) for 60 min sampling duration,16.0527611,72.9865507,7440-43-9,Cd,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.06",https://doi.org/10.1016/j.atmosres.2013.04.017,Furnace oil combustion in the boiler to produce steam for pasteurization.Furnace oil (product code-3080-from Chennai petroleum corporation limited)
B25FC3C,Fuel Oil Combustion in Boilers,Cerium,0.0135,0.0128,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Banglore Milk Dairy,25-10-2007,NIL,Composite of 3 samples taken from the exhaust stack of an Industrial boiler  using an isokinetic sampling probe and a dilution chamber(1:08) for 60 min sampling duration,16.0527611,72.9865507,7440-45-1,Ce,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.07",https://doi.org/10.1016/j.atmosres.2013.04.018,Furnace oil combustion in the boiler to produce steam for pasteurization.Furnace oil (product code-3080-from Chennai petroleum corporation limited)
B25FC3C,Fuel Oil Combustion in Boilers,Cobalt,0.002,0.0015,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Banglore Milk Dairy,25-10-2007,NIL,Composite of 3 samples taken from the exhaust stack of an Industrial boiler  using an isokinetic sampling probe and a dilution chamber(1:08) for 60 min sampling duration,16.0527611,72.9865507,7440-48-4,Co,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.08",https://doi.org/10.1016/j.atmosres.2013.04.019,Furnace oil combustion in the boiler to produce steam for pasteurization.Furnace oil (product code-3080-from Chennai petroleum corporation limited)
B25FC3C,Fuel Oil Combustion in Boilers,Chromium,0.0109,0.0012,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Banglore Milk Dairy,25-10-2007,NIL,Composite of 3 samples taken from the exhaust stack of an Industrial boiler  using an isokinetic sampling probe and a dilution chamber(1:08) for 60 min sampling duration,16.0527611,72.9865507,7440-47-3,Cr,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.09",https://doi.org/10.1016/j.atmosres.2013.04.020,Furnace oil combustion in the boiler to produce steam for pasteurization.Furnace oil (product code-3080-from Chennai petroleum corporation limited)
B25FC3C,Fuel Oil Combustion in Boilers,Copper,0.0018,0.0007,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Banglore Milk Dairy,25-10-2007,NIL,Composite of 3 samples taken from the exhaust stack of an Industrial boiler  using an isokinetic sampling probe and a dilution chamber(1:08) for 60 min sampling duration,16.0527611,72.9865507,7440-50-8,Cu,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.10",https://doi.org/10.1016/j.atmosres.2013.04.021,Furnace oil combustion in the boiler to produce steam for pasteurization.Furnace oil (product code-3080-from Chennai petroleum corporation limited)
