Id,Name,Species,Mass,Uncertainity,Analythical Method,Uncertainty Method,Particle Size,N Samples,Reference,Country,Place,Test Year,Control Method,Sampling Method,Latitude,Longitude,CAS Number,Symbol,Reference,Link,other details
C10HSP3C,Low Sulfur Heavy Stock (LSHS) Power Plant,Silver,0.01,0.009,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"GMR Power plant, Basin Bridge Chennai",05/11/2007,NIL,Composite of 3 samples from a 200MW power plant in Chennai with dilution 0f 1:8 for 45 mins samoling duration,13.1032427,80.2684266,7440-22-4,Ag,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.01",https://doi.org/10.1016/j.atmosres.2013.04.012,Production of electricity 200 MW using engine Hundai. Low sulphur Heavy stock fuel
C10HSP3C,Low Sulfur Heavy Stock (LSHS) Power Plant,Aluminium,0.025,0.0021,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"GMR Power plant, Basin Bridge Chennai",06/11/2007,NIL,Composite of 3 samples from a 200MW power plant in Chennai with dilution 0f 1:8 for 45 mins samoling duration,13.1032427,80.2684266,7429-90-5,Al,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.02",https://doi.org/10.1016/j.atmosres.2013.04.013,Production of electricity 200 MW using engine Hundai. Low sulphur Heavy stock fuel
C10HSP3C,Low Sulfur Heavy Stock (LSHS) Power Plant,Arsenic,0.218,0.0218,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"GMR Power plant, Basin Bridge Chennai",07/11/2007,NIL,Composite of 3 samples from a 200MW power plant in Chennai with dilution 0f 1:8 for 45 mins samoling duration,13.1032427,80.2684266,7440-38-2,As,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.03",https://doi.org/10.1016/j.atmosres.2013.04.014,Production of electricity 200 MW using engine Hundai. Low sulphur Heavy stock fuel
C10HSP3C,Low Sulfur Heavy Stock (LSHS) Power Plant,Barium,0.0101,0.0009,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"GMR Power plant, Basin Bridge Chennai",08/11/2007,NIL,Composite of 3 samples from a 200MW power plant in Chennai with dilution 0f 1:8 for 45 mins samoling duration,13.1032427,80.2684266,7440-39-3,Ba,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.04",https://doi.org/10.1016/j.atmosres.2013.04.015,Production of electricity 200 MW using engine Hundai. Low sulphur Heavy stock fuel
C10HSP3C,Low Sulfur Heavy Stock (LSHS) Power Plant,Calcium,2.3683,0.1687,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"GMR Power plant, Basin Bridge Chennai",09/11/2007,NIL,Composite of 3 samples from a 200MW power plant in Chennai with dilution 0f 1:8 for 45 mins samoling duration,13.1032427,80.2684266,7440-70-2,Ca,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.05",https://doi.org/10.1016/j.atmosres.2013.04.016,Production of electricity 200 MW using engine Hundai. Low sulphur Heavy stock fuel
C10HSP3C,Low Sulfur Heavy Stock (LSHS) Power Plant,Cadmium,0.0094,0.0011,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"GMR Power plant, Basin Bridge Chennai",10/11/2007,NIL,Composite of 3 samples from a 200MW power plant in Chennai with dilution 0f 1:8 for 45 mins samoling duration,13.1032427,80.2684266,7440-43-9,Cd,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.06",https://doi.org/10.1016/j.atmosres.2013.04.017,Production of electricity 200 MW using engine Hundai. Low sulphur Heavy stock fuel
C10HSP3C,Low Sulfur Heavy Stock (LSHS) Power Plant,Cerium,0.0277,0.0201,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"GMR Power plant, Basin Bridge Chennai",11/11/2007,NIL,Composite of 3 samples from a 200MW power plant in Chennai with dilution 0f 1:8 for 45 mins samoling duration,13.1032427,80.2684266,7440-45-1,Ce,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.07",https://doi.org/10.1016/j.atmosres.2013.04.018,Production of electricity 200 MW using engine Hundai. Low sulphur Heavy stock fuel
C10HSP3C,Low Sulfur Heavy Stock (LSHS) Power Plant,Cobalt,0.0034,0.0023,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"GMR Power plant, Basin Bridge Chennai",12/11/2007,NIL,Composite of 3 samples from a 200MW power plant in Chennai with dilution 0f 1:8 for 45 mins samoling duration,13.1032427,80.2684266,7440-48-4,Co,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.08",https://doi.org/10.1016/j.atmosres.2013.04.019,Production of electricity 200 MW using engine Hundai. Low sulphur Heavy stock fuel
C10HSP3C,Low Sulfur Heavy Stock (LSHS) Power Plant,Chromium,0.1511,0.0113,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"GMR Power plant, Basin Bridge Chennai",13/11/2007,NIL,Composite of 3 samples from a 200MW power plant in Chennai with dilution 0f 1:8 for 45 mins samoling duration,13.1032427,80.2684266,7440-47-3,Cr,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.09",https://doi.org/10.1016/j.atmosres.2013.04.020,Production of electricity 200 MW using engine Hundai. Low sulphur Heavy stock fuel
C10HSP3C,Low Sulfur Heavy Stock (LSHS) Power Plant,Copper,0.0098,0.0015,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"GMR Power plant, Basin Bridge Chennai",14/11/2007,NIL,Composite of 3 samples from a 200MW power plant in Chennai with dilution 0f 1:8 for 45 mins samoling duration,13.1032427,80.2684266,7440-50-8,Cu,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.10",https://doi.org/10.1016/j.atmosres.2013.04.021,Production of electricity 200 MW using engine Hundai. Low sulphur Heavy stock fuel
