Id,Name,Specie,Mass,Uncertainity,Analythical Method,Uncertainty Method,Particle Size,N Samples,Reference,Country,Place,Test Year,Control Method,Sampling Method,Latitude,Longitude,CAS Number,Symbol,Reference,Link
D10CP3C,Coal - Fired Power Plant,Silver,0.0284,0.0204,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"NTPC Badarpur, Delhi",27/11/2007,ESP,Composite of 3 samples taken from a 705MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 60 min sampling duration,23.81582,70.70588,7440-22-4,Ag,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.01",https://doi.org/10.1016/j.atmosres.2013.04.012
D10CP3C,Coal - Fired Power Plant,Aluminium,0.099,0.0037,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"NTPC Badarpur, Delhi",27/11/2007,ESP,Composite of 3 samples taken from a 705MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 60 min sampling duration,23.81582,70.70588,7429-90-5,Al,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.02",https://doi.org/10.1016/j.atmosres.2013.04.013
D10CP3C,Coal - Fired Power Plant,Arsenic,0.0257,0.0185,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"NTPC Badarpur, Delhi",27/11/2007,ESP,Composite of 3 samples taken from a 705MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 60 min sampling duration,23.81582,70.70588,7440-38-2,As,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.03",https://doi.org/10.1016/j.atmosres.2013.04.014
D10CP3C,Coal - Fired Power Plant,Barium,0.0306,0.0026,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"NTPC Badarpur, Delhi",27/11/2007,ESP,Composite of 3 samples taken from a 705MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 60 min sampling duration,23.81582,70.70588,7440-39-3,Ba,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.04",https://doi.org/10.1016/j.atmosres.2013.04.015
D10CP3C,Coal - Fired Power Plant,Calcium,0.2576,0.0212,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"NTPC Badarpur, Delhi",27/11/2007,ESP,Composite of 3 samples taken from a 705MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 60 min sampling duration,23.81582,70.70588,7440-70-2,Ca,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.05",https://doi.org/10.1016/j.atmosres.2013.04.016
D10CP3C,Coal - Fired Power Plant,Cadmium,0.0102,0.0017,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"NTPC Badarpur, Delhi",27/11/2007,ESP,Composite of 3 samples taken from a 705MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 60 min sampling duration,23.81582,70.70588,7440-43-9,Cd,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.06",https://doi.org/10.1016/j.atmosres.2013.04.017
D10CP3C,Coal - Fired Power Plant,Cerium,0.0623,0.0447,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"NTPC Badarpur, Delhi",27/11/2007,ESP,Composite of 3 samples taken from a 705MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 60 min sampling duration,23.81582,70.70588,7440-45-1,Ce,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.07",https://doi.org/10.1016/j.atmosres.2013.04.018
D10CP3C,Coal - Fired Power Plant,Cobalt,0.007,0.005,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"NTPC Badarpur, Delhi",27/11/2007,ESP,Composite of 3 samples taken from a 705MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 60 min sampling duration,23.81582,70.70588,7440-48-4,Co,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.08",https://doi.org/10.1016/j.atmosres.2013.04.019
D10CP3C,Coal - Fired Power Plant,Chromium,0.0192,0.0028,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"NTPC Badarpur, Delhi",27/11/2007,ESP,Composite of 3 samples taken from a 705MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 60 min sampling duration,23.81582,70.70588,7440-47-3,Cr,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.09",https://doi.org/10.1016/j.atmosres.2013.04.020
D10CP3C,Coal - Fired Power Plant,Copper,0.2158,0.0167,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"NTPC Badarpur, Delhi",27/11/2007,ESP,Composite of 3 samples taken from a 705MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 60 min sampling duration,23.81582,70.70588,7440-50-8,Cu,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.10",https://doi.org/10.1016/j.atmosres.2013.04.021
