Id,Name,Specie,Mass,Uncertainity,Analythical Method,Uncertainty Method,Particle Size,N Samples,Reference,Country,Place,Test Year,Control Method,Sampling Method,Latitude,Longitude,CAS Number,Symbol,Reference,Link
K10CP3C,Coal - Fired Power Plant,Silver,0.0045,0.0024,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"Panki Power Plant, Kanpur",04/01/2007,ESP,Composite of 3 samples taken from a 220MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 10 min sampling duration,23.83114,71.98932,7440-22-4,Ag,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.01",https://doi.org/10.1016/j.atmosres.2013.04.012
K10CP3C,Coal - Fired Power Plant,Aluminium,0.0953,0.003,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"Panki Power Plant, Kanpur",04/01/2007,ESP,Composite of 3 samples taken from a 220MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 10 min sampling duration,23.83114,71.98932,7429-90-5,Al,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.02",https://doi.org/10.1016/j.atmosres.2013.04.013
K10CP3C,Coal - Fired Power Plant,Arsenic,0.0267,0.0036,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"Panki Power Plant, Kanpur",04/01/2007,ESP,Composite of 3 samples taken from a 220MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 10 min sampling duration,23.83114,71.98932,7440-38-2,As,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.03",https://doi.org/10.1016/j.atmosres.2013.04.014
K10CP3C,Coal - Fired Power Plant,Barium,0.0625,0.0045,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"Panki Power Plant, Kanpur",04/01/2007,ESP,Composite of 3 samples taken from a 220MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 10 min sampling duration,23.83114,71.98932,7440-39-3,Ba,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.04",https://doi.org/10.1016/j.atmosres.2013.04.015
K10CP3C,Coal - Fired Power Plant,Calcium,0.7321,0.0521,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"Panki Power Plant, Kanpur",04/01/2007,ESP,Composite of 3 samples taken from a 220MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 10 min sampling duration,23.83114,71.98932,7440-70-2,Ca,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.05",https://doi.org/10.1016/j.atmosres.2013.04.016
K10CP3C,Coal - Fired Power Plant,Cadmium,0.0564,0.0041,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"Panki Power Plant, Kanpur",04/01/2007,ESP,Composite of 3 samples taken from a 220MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 10 min sampling duration,23.83114,71.98932,7440-43-9,Cd,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.06",https://doi.org/10.1016/j.atmosres.2013.04.017
K10CP3C,Coal - Fired Power Plant,Cerium,0.0133,0.0054,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"Panki Power Plant, Kanpur",04/01/2007,ESP,Composite of 3 samples taken from a 220MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 10 min sampling duration,23.83114,71.98932,7440-45-1,Ce,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.07",https://doi.org/10.1016/j.atmosres.2013.04.018
K10CP3C,Coal - Fired Power Plant,Cobalt,0.0017,0.0006,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"Panki Power Plant, Kanpur",04/01/2007,ESP,Composite of 3 samples taken from a 220MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 10 min sampling duration,23.83114,71.98932,7440-48-4,Co,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.08",https://doi.org/10.1016/j.atmosres.2013.04.019
K10CP3C,Coal - Fired Power Plant,Chromium,0.0164,0.0013,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"Panki Power Plant, Kanpur",04/01/2007,ESP,Composite of 3 samples taken from a 220MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 10 min sampling duration,23.83114,71.98932,7440-47-3,Cr,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.09",https://doi.org/10.1016/j.atmosres.2013.04.020
K10CP3C,Coal - Fired Power Plant,Copper,0.0397,0.003,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"Panki Power Plant, Kanpur",04/01/2007,ESP,Composite of 3 samples taken from a 220MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 10 min sampling duration,23.83114,71.98932,7440-50-8,Cu,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.10",https://doi.org/10.1016/j.atmosres.2013.04.021
K10CP3C,Coal - Fired Power Plant,Iron,3.5098,0.2485,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"Panki Power Plant, Kanpur",04/01/2007,ESP,Composite of 3 samples taken from a 220MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 10 min sampling duration,23.83114,71.98932,7439-89-6,Fe,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.11",https://doi.org/10.1016/j.atmosres.2013.04.022
K10CP3C,Coal - Fired Power Plant,Gallium,0.0049,0.0038,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"Panki Power Plant, Kanpur",04/01/2007,ESP,Composite of 3 samples taken from a 220MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 10 min sampling duration,23.83114,71.98932,7440-55-3,Ga,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.12",https://doi.org/10.1016/j.atmosres.2013.04.023
K10CP3C,Coal - Fired Power Plant,Hafnium,0.0044,0.0016,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"Panki Power Plant, Kanpur",04/01/2007,ESP,Composite of 3 samples taken from a 220MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 10 min sampling duration,23.83114,71.98932,7440-58-6,Hf,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.13",https://doi.org/10.1016/j.atmosres.2013.04.024
K10CP3C,Coal - Fired Power Plant,Mercury,0.0068,0.0009,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"Panki Power Plant, Kanpur",04/01/2007,ESP,Composite of 3 samples taken from a 220MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 10 min sampling duration,23.83114,71.98932,7439-97-6,Hg,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.14",https://doi.org/10.1016/j.atmosres.2013.04.025
