Id,Name,Specie,Mass,Uncertainity,Analythical Method,Uncertainty Method,Particle Size,N Samples,Reference,Country,Place,Test Year,Control Method,Sampling Method,Latitude,Longitude,CAS Number,Symbol,Reference,Link
M10FPD1,Fugitive Dust Emissions from fertilizers,Silver,0.0059,0.0043,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,Mumbai,2007,NIL,One ambient sample taken from a raw material storage yard in a fertilizer plant in Mumbai,,,7440-22-4,Ag,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.01",https://doi.org/10.1016/j.atmosres.2013.04.012
M10FPD1,Fugitive Dust Emissions from fertilizers,Aluminium,0.0058,0.0006,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,Mumbai,2007,NIL,One ambient sample taken from a raw material storage yard in a fertilizer plant in Mumbai,,,7429-90-5,Al,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.02",https://doi.org/10.1016/j.atmosres.2013.04.013
M10FPD1,Fugitive Dust Emissions from fertilizers,Arsenic,0.0054,0.0039,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,Mumbai,2007,NIL,One ambient sample taken from a raw material storage yard in a fertilizer plant in Mumbai,,,7440-38-2,As,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.03",https://doi.org/10.1016/j.atmosres.2013.04.014
M10FPD1,Fugitive Dust Emissions from fertilizers,Barium,0.0201,0.0015,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,Mumbai,2007,NIL,One ambient sample taken from a raw material storage yard in a fertilizer plant in Mumbai,,,7440-39-3,Ba,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.04",https://doi.org/10.1016/j.atmosres.2013.04.015
M10FPD1,Fugitive Dust Emissions from fertilizers,Calcium,0.7463,0.0534,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,Mumbai,2007,NIL,One ambient sample taken from a raw material storage yard in a fertilizer plant in Mumbai,,,7440-70-2,Ca,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.05",https://doi.org/10.1016/j.atmosres.2013.04.016
M10FPD1,Fugitive Dust Emissions from fertilizers,Cadmium,0.0008,0.0003,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,Mumbai,2007,NIL,One ambient sample taken from a raw material storage yard in a fertilizer plant in Mumbai,,,7440-43-9,Cd,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.06",https://doi.org/10.1016/j.atmosres.2013.04.017
M10FPD1,Fugitive Dust Emissions from fertilizers,Cerium,0.013,0.0094,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,Mumbai,2007,NIL,One ambient sample taken from a raw material storage yard in a fertilizer plant in Mumbai,,,7440-45-1,Ce,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.07",https://doi.org/10.1016/j.atmosres.2013.04.018
M10FPD1,Fugitive Dust Emissions from fertilizers,Cobalt,0.0015,0.001,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,Mumbai,2007,NIL,One ambient sample taken from a raw material storage yard in a fertilizer plant in Mumbai,,,7440-48-4,Co,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.08",https://doi.org/10.1016/j.atmosres.2013.04.019
M10FPD1,Fugitive Dust Emissions from fertilizers,Chromium,0.0066,0.0008,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,Mumbai,2007,NIL,One ambient sample taken from a raw material storage yard in a fertilizer plant in Mumbai,,,7440-47-3,Cr,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.09",https://doi.org/10.1016/j.atmosres.2013.04.020
M10FPD1,Fugitive Dust Emissions from fertilizers,Copper,0.0006,0.0004,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,Mumbai,2007,NIL,One ambient sample taken from a raw material storage yard in a fertilizer plant in Mumbai,,,7440-50-8,Cu,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.10",https://doi.org/10.1016/j.atmosres.2013.04.021
M10FPD1,Fugitive Dust Emissions from fertilizers,Iron,0.7325,0.0524,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,Mumbai,2007,NIL,One ambient sample taken from a raw material storage yard in a fertilizer plant in Mumbai,,,7439-89-6,Fe,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.11",https://doi.org/10.1016/j.atmosres.2013.04.022
M10FPD1,Fugitive Dust Emissions from fertilizers,Gallium,0.0099,0.0071,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,Mumbai,2007,NIL,One ambient sample taken from a raw material storage yard in a fertilizer plant in Mumbai,,,7440-55-3,Ga,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.12",https://doi.org/10.1016/j.atmosres.2013.04.023
M10FPD1,Fugitive Dust Emissions from fertilizers,Hafnium,0.0003,0.0026,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,Mumbai,2007,NIL,One ambient sample taken from a raw material storage yard in a fertilizer plant in Mumbai,,,7440-58-6,Hf,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.13",https://doi.org/10.1016/j.atmosres.2013.04.024
M10FPD1,Fugitive Dust Emissions from fertilizers,Mercury,0.0015,0.0011,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,Mumbai,2007,NIL,One ambient sample taken from a raw material storage yard in a fertilizer plant in Mumbai,,,7439-97-6,Hg,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.14",https://doi.org/10.1016/j.atmosres.2013.04.025
M10FPD1,Fugitive Dust Emissions from fertilizers,Indium,0.0975,0.0136,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,Mumbai,2007,NIL,One ambient sample taken from a raw material storage yard in a fertilizer plant in Mumbai,,,7440-74-6,In,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.15",https://doi.org/10.1016/j.atmosres.2013.04.026
M10FPD1,Fugitive Dust Emissions from fertilizers,Potassium,0.3825,0.0551,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,Mumbai,2007,NIL,One ambient sample taken from a raw material storage yard in a fertilizer plant in Mumbai,,,7440-74-7,K,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.16",https://doi.org/10.1016/j.atmosres.2013.04.027
M10FPD1,Fugitive Dust Emissions from fertilizers,Lutetium,0.0002,0.0001,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,Mumbai,2007,NIL,One ambient sample taken from a raw material storage yard in a fertilizer plant in Mumbai,,,7440 09 07,Lu,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.17",https://doi.org/10.1016/j.atmosres.2013.04.028
M10FPD1,Fugitive Dust Emissions from fertilizers,Magnesium,0.001,0.0007,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,Mumbai,2007,NIL,One ambient sample taken from a raw material storage yard in a fertilizer plant in Mumbai,,,7439-95-4,Mg,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.18",https://doi.org/10.1016/j.atmosres.2013.04.029
M10FPD1,Fugitive Dust Emissions from fertilizers,Manganese,0.0045,0.0004,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,Mumbai,2007,NIL,One ambient sample taken from a raw material storage yard in a fertilizer plant in Mumbai,,,7439-96-5,Mn,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.19",https://doi.org/10.1016/j.atmosres.2013.04.030
M10FPD1,Fugitive Dust Emissions from fertilizers,Molybdenum,0.0016,0.0011,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,Mumbai,2007,NIL,One ambient sample taken from a raw material storage yard in a fertilizer plant in Mumbai,,,7439-98-7,Mo,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.20",https://doi.org/10.1016/j.atmosres.2013.04.031
