Id,Name,Specie,Mass,Uncertainity,Analythical Method,Uncertainty Method,Particle Size,N Samples,Reference,Country,Place,Test Year,Control Method,Sampling Method,Latitude,Longitude,CAS Number,Symbol,Reference,Link
M10GW3C,Garden Waste Burning,Silver,0.0103,0.0181,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"IIT Bombay, Mumbai",2007,NIL,Composie of 3 samples taken from laboratory simulated open burning of garden Waste from from IIT Bombay Campus,19.1261053,72.8994332,7440-22-4,Ag,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.01",https://doi.org/10.1016/j.atmosres.2013.04.012
M10GW3C,Garden Waste Burning,Aluminium,0.0063,0.0459,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"IIT Bombay, Mumbai",2007,NIL,Composie of 3 samples taken from laboratory simulated open burning of garden Waste from from IIT Bombay Campus,19.1261053,72.8994332,7429-90-5,Al,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.02",https://doi.org/10.1016/j.atmosres.2013.04.013
M10GW3C,Garden Waste Burning,Arsenic,0.0128,0.0145,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"IIT Bombay, Mumbai",2007,NIL,Composie of 3 samples taken from laboratory simulated open burning of garden Waste from from IIT Bombay Campus,19.1261053,72.8994332,7440-38-2,As,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.03",https://doi.org/10.1016/j.atmosres.2013.04.014
M10GW3C,Garden Waste Burning,Barium,0.0423,0.0067,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"IIT Bombay, Mumbai",2007,NIL,Composie of 3 samples taken from laboratory simulated open burning of garden Waste from from IIT Bombay Campus,19.1261053,72.8994332,7440-39-3,Ba,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.04",https://doi.org/10.1016/j.atmosres.2013.04.015
M10GW3C,Garden Waste Burning,Calcium,0.4154,0.241,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"IIT Bombay, Mumbai",2007,NIL,Composie of 3 samples taken from laboratory simulated open burning of garden Waste from from IIT Bombay Campus,19.1261053,72.8994332,7440-70-2,Ca,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.05",https://doi.org/10.1016/j.atmosres.2013.04.016
M10GW3C,Garden Waste Burning,Cadmium,0.007,0.002,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"IIT Bombay, Mumbai",2007,NIL,Composie of 3 samples taken from laboratory simulated open burning of garden Waste from from IIT Bombay Campus,19.1261053,72.8994332,7440-43-9,Cd,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.06",https://doi.org/10.1016/j.atmosres.2013.04.017
M10GW3C,Garden Waste Burning,Cerium,0.031,0.0334,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"IIT Bombay, Mumbai",2007,NIL,Composie of 3 samples taken from laboratory simulated open burning of garden Waste from from IIT Bombay Campus,19.1261053,72.8994332,7440-45-1,Ce,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.07",https://doi.org/10.1016/j.atmosres.2013.04.018
M10GW3C,Garden Waste Burning,Cobalt,0.0035,0.006,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"IIT Bombay, Mumbai",2007,NIL,Composie of 3 samples taken from laboratory simulated open burning of garden Waste from from IIT Bombay Campus,19.1261053,72.8994332,7440-48-4,Co,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.08",https://doi.org/10.1016/j.atmosres.2013.04.019
M10GW3C,Garden Waste Burning,Chromium,0.0142,0.8266,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"IIT Bombay, Mumbai",2007,NIL,Composie of 3 samples taken from laboratory simulated open burning of garden Waste from from IIT Bombay Campus,19.1261053,72.8994332,7440-47-3,Cr,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.09",https://doi.org/10.1016/j.atmosres.2013.04.020
M10GW3C,Garden Waste Burning,Copper,0.0161,0.0128,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"IIT Bombay, Mumbai",2007,NIL,Composie of 3 samples taken from laboratory simulated open burning of garden Waste from from IIT Bombay Campus,19.1261053,72.8994332,7440-50-8,Cu,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.10",https://doi.org/10.1016/j.atmosres.2013.04.021
M10GW3C,Garden Waste Burning,Iron,0.1597,3.3317,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"IIT Bombay, Mumbai",2007,NIL,Composie of 3 samples taken from laboratory simulated open burning of garden Waste from from IIT Bombay Campus,19.1261053,72.8994332,7439-89-6,Fe,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.11",https://doi.org/10.1016/j.atmosres.2013.04.022
M10GW3C,Garden Waste Burning,Gallium,0.0236,0.0255,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"IIT Bombay, Mumbai",2007,NIL,Composie of 3 samples taken from laboratory simulated open burning of garden Waste from from IIT Bombay Campus,19.1261053,72.8994332,7440-55-3,Ga,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.12",https://doi.org/10.1016/j.atmosres.2013.04.023
